kehadiran_id,karyawan_id,tanggal,waktu_masuk,waktu_keluar,status_kehadiran,keterlambatan_menit,keterangan,nama,jabatan,departemen,tanggal_masuk,gaji_pokok,status_kepegawaian,email,nomor_telepon,durasi_jam,sanksi_potongan,bulan,tahun
18,18,2024-07-01,2024-07-01 08:10:00,2024-07-01 17:24:00,Hadir,0,Keterangan untuk Hadir,Dewi Santoso,Supervisor,IT,2020-06-03,14313054,Tetap,dewi.santoso@company.com,83084839399,0.0,0.0,July,2024
19,19,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:26:00,Hadir,0,Keterangan untuk Hadir,Doni Hidayat,Staff,HR,2023-07-07,5197815,Tetap,doni.hidayat@company.com,88125276666,0.0,0.0,July,2024
20,20,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:23:00,Hadir,15,Keterangan untuk Hadir,Nina Prasetyo,Staff,Marketing,2020-11-21,6355137,Tetap,nina.prasetyo@company.com,85555296751,0.0,0.0,July,2024
21,21,2024-07-01,2024-07-01 08:07:00,2024-07-01 17:20:00,Hadir,11,Keterangan untuk Hadir,Nina Putri,Supervisor,HR,2021-09-15,11175934,Kontrak,nina.putri@company.com,86083042422,0.0,0.0,July,2024
22,22,2024-07-01,0,0,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan,Linda Rahayu,Manager,Marketing,2024-02-02,19534780,Tetap,linda.rahayu@company.com,85161807235,0.0,0.0,July,2024
23,23,2024-07-01,0,0,Izin,0,Keterangan untuk Izin,Siti Hidayat,Staff,Marketing,2023-04-28,5841042,Tetap,siti.hidayat@company.com,86002078344,0.0,0.0,July,2024
24,24,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir,Budi Prasetyo,Senior Staff,Marketing,2022-07-23,9331061,Probation,budi.prasetyo@company.com,88380507338,0.0,0.0,July,2024
25,25,2024-07-01,2024-07-01 08:21:00,2024-07-01 17:03:00,Hadir,0,Keterangan untuk Hadir,Ahmad Rahayu,Senior Staff,HR,2020-10-24,9274131,Tetap,ahmad.rahayu@company.com,88507497883,3.0,0.0,July,2024
26,26,2024-07-01,2024-07-01 08:22:00,2024-07-01 17:08:00,Hadir,0,Keterangan untuk Hadir,Budi Santoso,Staff,HR,2020-09-03,6785394,Tetap,budi.santoso@company.com,89884231465,0.0,0.0,July,2024
27,27,2024-07-01,2024-07-01 08:19:00,2024-07-01 17:30:00,Hadir,0,Keterangan untuk Hadir,Dewi Rahayu,Staff,IT,2024-04-19,6246797,Tetap,dewi.rahayu@company.com,83660223333,0.0,0.0,July,2024
28,28,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:05:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Senior Staff,Finance,2021-11-23,8317782,Tetap,eko.anggraini@company.com,86435772945,0.0,0.0,July,2024
29,29,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:29:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hermawan,Staff,Finance,2020-01-15,6302665,Probation,ahmad.hermawan@company.com,85278201677,2.0,0.0,July,2024
30,30,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:12:00,Hadir,0,Keterangan untuk Hadir,Dewi Prakoso,Supervisor,Finance,2021-06-03,12049206,Kontrak,dewi.prakoso@company.com,82224011538,0.0,0.0,July,2024
31,31,2024-07-01,2024-07-01 08:02:00,2024-07-01 17:18:00,Hadir,0,Keterangan untuk Hadir,Linda Prakoso,Senior Staff,IT,2024-05-22,7434473,Tetap,linda.prakoso@company.com,82135872495,0.0,0.0,July,2024
32,32,2024-07-01,2024-07-01 08:03:00,2024-07-01 17:22:00,Hadir,0,Keterangan untuk Hadir,Dewi Prakoso,Supervisor,Finance,2022-10-07,12876288,Tetap,dewi.prakoso@company.com,88958199946,0.0,0.0,July,2024
33,33,2024-07-01,2024-07-01 08:25:00,2024-07-01 17:03:00,Hadir,19,Keterangan untuk Hadir,Doni Kusuma,Senior Staff,IT,2020-11-14,8160480,Tetap,doni.kusuma@company.com,85310195918,0.0,0.0,July,2024
34,34,2024-07-01,2024-07-01 08:01:00,2024-07-01 17:11:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hermawan,Supervisor,Marketing,2024-12-14,14705227,Tetap,ahmad.hermawan@company.com,81480494664,0.0,0.0,July,2024
35,35,2024-07-01,2024-07-01 08:02:00,2024-07-01 17:16:00,Hadir,0,Keterangan untuk Hadir,Ahmad Prakoso,Manager,Finance,2024-09-05,18605312,Tetap,ahmad.prakoso@company.com,85474620894,0.0,0.0,July,2024
36,36,2024-07-01,2024-07-01 08:13:00,2024-07-01 17:26:00,Hadir,0,Keterangan untuk Hadir,Nina Santoso,Senior Staff,HR,2021-11-04,8483435,Probation,nina.santoso@company.com,84993808565,0.0,0.0,July,2024
37,37,2024-07-01,2024-07-01 08:11:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hidayat,Staff,IT,2021-12-11,6640783,Kontrak,ahmad.hidayat@company.com,84482141802,0.0,0.0,July,2024
38,38,2024-07-01,2024-07-01 08:04:00,2024-07-01 17:13:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Manager,Marketing,2020-08-08,16674138,Kontrak,rudi.hidayat@company.com,86796738787,0.0,0.0,July,2024
39,39,2024-07-01,2024-07-01 08:20:00,2024-07-01 17:08:00,Hadir,0,Keterangan untuk Hadir,Siti Rahayu,Manager,HR,2023-06-09,15582343,Kontrak,siti.rahayu@company.com,87482848011,0.0,0.0,July,2024
40,40,2024-07-01,2024-07-01 08:15:00,2024-07-01 17:14:00,Hadir,24,Keterangan untuk Hadir,Doni Wati,Manager,IT,2022-03-19,17226893,Tetap,doni.wati@company.com,87161404428,2.0,0.0,July,2024
41,41,2024-07-01,2024-07-01 08:08:00,2024-07-01 17:10:00,Hadir,0,Keterangan untuk Hadir,Nina Prasetyo,Manager,Marketing,2024-04-09,15372341,Probation,nina.prasetyo@company.com,82872852789,0.0,0.0,July,2024
42,42,2024-07-01,2024-07-01 08:08:00,2024-07-01 17:28:00,Hadir,2,Keterangan untuk Hadir,Doni Prakoso,Supervisor,Finance,2023-02-22,12769918,Probation,doni.prakoso@company.com,84642197907,0.0,0.0,July,2024
43,43,2024-07-01,2024-07-01 08:18:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir,Rudi Prakoso,Senior Staff,Marketing,2022-07-23,8240067,Probation,rudi.prakoso@company.com,81546696950,3.0,0.0,July,2024
44,44,2024-07-01,2024-07-01 08:15:00,2024-07-01 17:27:00,Hadir,0,Keterangan untuk Hadir,Eko Prasetyo,Supervisor,Finance,2023-09-27,10003405,Kontrak,eko.prasetyo@company.com,82232285036,2.0,0.0,July,2024
45,45,2024-07-01,2024-07-01 08:11:00,2024-07-01 17:25:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Senior Staff,Marketing,2023-08-22,7896328,Probation,eko.anggraini@company.com,85659161352,2.0,0.0,July,2024
46,46,2024-07-01,2024-07-01 08:19:00,2024-07-01 17:22:00,Hadir,0,Keterangan untuk Hadir,Doni Anggraini,Senior Staff,IT,2021-11-10,7942211,Tetap,doni.anggraini@company.com,81632880459,4.0,0.0,July,2024
47,47,2024-07-01,2024-07-01 08:16:00,2024-07-01 17:30:00,Hadir,0,Keterangan untuk Hadir,Budi Rahayu,Staff,IT,2023-07-21,6207269,Tetap,budi.rahayu@company.com,86944142262,0.0,0.0,July,2024
48,48,2024-07-01,2024-07-01 08:13:00,2024-07-01 17:15:00,Hadir,0,Keterangan untuk Hadir,Eko Rahayu,Supervisor,IT,2020-07-08,11475444,Probation,eko.rahayu@company.com,87519578899,0.0,0.0,July,2024
49,49,2024-07-01,2024-07-01 08:15:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir,Budi Prakoso,Supervisor,IT,2023-03-26,13897709,Probation,budi.prakoso@company.com,88995059760,0.0,0.0,July,2024
50,50,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:02:00,Hadir,0,Keterangan untuk Hadir,Linda Hermawan,Supervisor,Finance,2024-08-21,12006939,Kontrak,linda.hermawan@company.com,82889238423,2.0,0.0,July,2024
51,1,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:09:00,Hadir,0,Keterangan untuk Hadir,Dewi Santoso,Senior Staff,HR,2021-03-24,7429895,Probation,dewi.santoso@company.com,83342331444,0.0,0.0,July,2024
52,2,2024-07-02,2024-07-02 08:17:00,2024-07-02 17:16:00,Hadir,0,Keterangan untuk Hadir,Maya Prasetyo,Manager,IT,2020-04-08,19239227,Probation,maya.prasetyo@company.com,89703905715,0.0,0.0,July,2024
53,3,2024-07-02,2024-07-02 08:10:00,2024-07-02 17:11:00,Hadir,17,Keterangan untuk Hadir,Siti Prakoso,Staff,HR,2023-10-09,6697498,Tetap,siti.prakoso@company.com,87110082321,0.0,0.0,July,2024
54,4,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:07:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2020-02-13,10811315,Kontrak,rudi.hidayat@company.com,88934927891,4.0,0.0,July,2024
55,5,2024-07-02,2024-07-02 08:03:00,2024-07-02 17:23:00,Hadir,0,Keterangan untuk Hadir,Maya Hermawan,Manager,Marketing,2024-02-13,15661023,Probation,maya.hermawan@company.com,81298737106,0.0,0.0,July,2024
56,6,2024-07-02,2024-07-02 08:05:00,2024-07-02 17:06:00,Hadir,0,Keterangan untuk Hadir,Siti Hermawan,Manager,HR,2020-07-09,18803481,Probation,siti.hermawan@company.com,88877444318,0.0,0.0,July,2024
57,7,2024-07-02,2024-07-02 08:23:00,2024-07-02 17:18:00,Hadir,0,Keterangan untuk Hadir,Ahmad Wati,Senior Staff,HR,2022-12-22,9718057,Tetap,ahmad.wati@company.com,84131575764,0.0,0.0,July,2024
58,8,2024-07-02,2024-07-02 08:09:00,2024-07-02 17:03:00,Hadir,0,Keterangan untuk Hadir,Ahmad Kusuma,Staff,Finance,2024-04-22,5680070,Tetap,ahmad.kusuma@company.com,86649827836,4.0,0.0,July,2024
59,9,2024-07-02,2024-07-02 08:11:00,2024-07-02 17:05:00,Hadir,0,Keterangan untuk Hadir,Rudi Putri,Supervisor,Finance,2021-11-16,13318800,Probation,rudi.putri@company.com,82970753705,0.0,0.0,July,2024
60,10,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:08:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2024-07-19,13350414,Kontrak,rudi.hidayat@company.com,85284391408,0.0,0.0,July,2024
61,11,2024-07-02,0,0,Izin,0,Keterangan untuk Izin,Doni Kusuma,Manager,IT,2020-03-21,16342026,Probation,doni.kusuma@company.com,85567816720,0.0,0.0,July,2024
62,12,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:20:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Staff,Finance,2024-01-22,6511463,Tetap,eko.anggraini@company.com,88047877267,1.0,0.0,July,2024
63,13,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:00:00,Hadir,0,Keterangan untuk Hadir,Dewi Hermawan,Staff,HR,2023-01-24,6836796,Probation,dewi.hermawan@company.com,84919706735,0.0,0.0,July,2024
64,14,2024-07-02,2024-07-02 08:14:00,2024-07-02 17:10:00,Hadir,0,Keterangan untuk Hadir,Rudi Prakoso,Supervisor,HR,2022-03-18,14448929,Tetap,rudi.prakoso@company.com,87867414708,0.0,741931.0,July,2024
65,15,2024-07-02,2024-07-02 08:30:00,2024-07-02 17:27:00,Hadir,0,Keterangan untuk Hadir,Linda Santoso,Manager,Finance,2022-04-02,17020577,Probation,linda.santoso@company.com,85067116918,0.0,0.0,July,2024
66,16,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:02:00,Hadir,12,Keterangan untuk Hadir,Dewi Kusuma,Manager,HR,2021-11-16,19612086,Tetap,dewi.kusuma@company.com,86633778586,0.0,0.0,July,2024
67,17,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:04:00,Hadir,0,Keterangan untuk Hadir,Nina Kusuma,Staff,IT,2021-04-03,5709016,Tetap,nina.kusuma@company.com,81945826486,0.0,0.0,July,2024
68,18,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:03:00,Hadir,2,Keterangan untuk Hadir,Dewi Santoso,Supervisor,IT,2020-06-03,14313054,Tetap,dewi.santoso@company.com,83084839399,0.0,0.0,July,2024
69,19,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:25:00,Hadir,0,Keterangan untuk Hadir,Doni Hidayat,Staff,HR,2023-07-07,5197815,Tetap,doni.hidayat@company.com,88125276666,1.0,0.0,July,2024
70,20,2024-07-02,2024-07-02 08:12:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir,Nina Prasetyo,Staff,Marketing,2020-11-21,6355137,Tetap,nina.prasetyo@company.com,85555296751,0.0,0.0,July,2024
71,21,2024-07-02,2024-07-02 08:18:00,2024-07-02 17:13:00,Hadir,0,Keterangan untuk Hadir,Nina Putri,Supervisor,HR,2021-09-15,11175934,Kontrak,nina.putri@company.com,86083042422,2.0,0.0,July,2024
72,22,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:30:00,Hadir,0,Keterangan untuk Hadir,Linda Rahayu,Manager,Marketing,2024-02-02,19534780,Tetap,linda.rahayu@company.com,85161807235,1.0,0.0,July,2024
73,23,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:06:00,Hadir,6,Keterangan untuk Hadir,Siti Hidayat,Staff,Marketing,2023-04-28,5841042,Tetap,siti.hidayat@company.com,86002078344,0.0,0.0,July,2024
74,24,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:05:00,Hadir,0,Keterangan untuk Hadir,Budi Prasetyo,Senior Staff,Marketing,2022-07-23,9331061,Probation,budi.prasetyo@company.com,88380507338,0.0,0.0,July,2024
75,25,2024-07-02,2024-07-02 08:13:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir,Ahmad Rahayu,Senior Staff,HR,2020-10-24,9274131,Tetap,ahmad.rahayu@company.com,88507497883,2.0,0.0,July,2024
76,26,2024-07-02,2024-07-02 08:01:00,2024-07-02 17:07:00,Hadir,0,Keterangan untuk Hadir,Budi Santoso,Staff,HR,2020-09-03,6785394,Tetap,budi.santoso@company.com,89884231465,0.0,0.0,July,2024
77,27,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir,Dewi Rahayu,Staff,IT,2024-04-19,6246797,Tetap,dewi.rahayu@company.com,83660223333,0.0,0.0,July,2024
78,28,2024-07-02,0,0,Izin,0,Keterangan untuk Izin,Eko Anggraini,Senior Staff,Finance,2021-11-23,8317782,Tetap,eko.anggraini@company.com,86435772945,0.0,0.0,July,2024
79,29,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:18:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hermawan,Staff,Finance,2020-01-15,6302665,Probation,ahmad.hermawan@company.com,85278201677,0.0,0.0,July,2024
80,30,2024-07-02,2024-07-02 08:03:00,2024-07-02 17:17:00,Hadir,13,Keterangan untuk Hadir,Dewi Prakoso,Supervisor,Finance,2021-06-03,12049206,Kontrak,dewi.prakoso@company.com,82224011538,0.0,0.0,July,2024
81,31,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:26:00,Hadir,0,Keterangan untuk Hadir,Linda Prakoso,Senior Staff,IT,2024-05-22,7434473,Tetap,linda.prakoso@company.com,82135872495,0.0,0.0,July,2024
82,32,2024-07-02,2024-07-02 08:25:00,2024-07-02 17:09:00,Hadir,0,Keterangan untuk Hadir,Dewi Prakoso,Supervisor,Finance,2022-10-07,12876288,Tetap,dewi.prakoso@company.com,88958199946,3.0,0.0,July,2024
83,33,2024-07-02,2024-07-02 08:09:00,2024-07-02 17:14:00,Hadir,29,Keterangan untuk Hadir,Doni Kusuma,Senior Staff,IT,2020-11-14,8160480,Tetap,doni.kusuma@company.com,85310195918,0.0,0.0,July,2024
84,34,2024-07-02,2024-07-02 08:22:00,2024-07-02 17:12:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hermawan,Supervisor,Marketing,2024-12-14,14705227,Tetap,ahmad.hermawan@company.com,81480494664,0.0,0.0,July,2024
85,35,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir,Ahmad Prakoso,Manager,Finance,2024-09-05,18605312,Tetap,ahmad.prakoso@company.com,85474620894,3.0,0.0,July,2024
86,36,2024-07-02,0,0,Izin,0,Keterangan untuk Izin,Nina Santoso,Senior Staff,HR,2021-11-04,8483435,Probation,nina.santoso@company.com,84993808565,0.0,0.0,July,2024
87,37,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:08:00,Hadir,0,Keterangan untuk Hadir,Ahmad Hidayat,Staff,IT,2021-12-11,6640783,Kontrak,ahmad.hidayat@company.com,84482141802,3.0,0.0,July,2024
88,38,2024-07-02,0,0,Izin,0,Keterangan untuk Izin,Rudi Hidayat,Manager,Marketing,2020-08-08,16674138,Kontrak,rudi.hidayat@company.com,86796738787,0.0,0.0,July,2024
89,39,2024-07-02,2024-07-02 08:18:00,2024-07-02 17:30:00,Hadir,18,Keterangan untuk Hadir,Siti Rahayu,Manager,HR,2023-06-09,15582343,Kontrak,siti.rahayu@company.com,87482848011,0.0,0.0,July,2024
90,40,2024-07-02,0,0,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan,Doni Wati,Manager,IT,2022-03-19,17226893,Tetap,doni.wati@company.com,87161404428,2.0,0.0,July,2024
91,41,2024-07-02,2024-07-02 08:24:00,2024-07-02 17:24:00,Hadir,0,Keterangan untuk Hadir,Nina Prasetyo,Manager,Marketing,2024-04-09,15372341,Probation,nina.prasetyo@company.com,82872852789,4.0,0.0,July,2024
92,42,2024-07-02,2024-07-02 08:14:00,2024-07-02 17:29:00,Hadir,0,Keterangan untuk Hadir,Doni Prakoso,Supervisor,Finance,2023-02-22,12769918,Probation,doni.prakoso@company.com,84642197907,1.0,0.0,July,2024
93,43,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:26:00,Hadir,13,Keterangan untuk Hadir,Rudi Prakoso,Senior Staff,Marketing,2022-07-23,8240067,Probation,rudi.prakoso@company.com,81546696950,0.0,0.0,July,2024
94,44,2024-07-02,2024-07-02 08:11:00,2024-07-02 17:13:00,Hadir,0,Keterangan untuk Hadir,Eko Prasetyo,Supervisor,Finance,2023-09-27,10003405,Kontrak,eko.prasetyo@company.com,82232285036,1.0,0.0,July,2024
95,45,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:05:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Senior Staff,Marketing,2023-08-22,7896328,Probation,eko.anggraini@company.com,85659161352,0.0,0.0,July,2024
96,46,2024-07-02,2024-07-02 08:09:00,2024-07-02 17:21:00,Hadir,0,Keterangan untuk Hadir,Doni Anggraini,Senior Staff,IT,2021-11-10,7942211,Tetap,doni.anggraini@company.com,81632880459,2.0,0.0,July,2024
97,47,2024-07-02,2024-07-02 08:01:00,2024-07-02 17:14:00,Hadir,17,Keterangan untuk Hadir,Budi Rahayu,Staff,IT,2023-07-21,6207269,Tetap,budi.rahayu@company.com,86944142262,4.0,0.0,July,2024
98,48,2024-07-02,0,0,Sakit,0,Keterangan untuk Sakit,Eko Rahayu,Supervisor,IT,2020-07-08,11475444,Probation,eko.rahayu@company.com,87519578899,0.0,0.0,July,2024
99,49,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:16:00,Hadir,12,Keterangan untuk Hadir,Budi Prakoso,Supervisor,IT,2023-03-26,13897709,Probation,budi.prakoso@company.com,88995059760,0.0,0.0,July,2024
100,50,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:17:00,Hadir,0,Keterangan untuk Hadir,Linda Hermawan,Supervisor,Finance,2024-08-21,12006939,Kontrak,linda.hermawan@company.com,82889238423,0.0,0.0,July,2024
101,1,2024-07-03,2024-07-03 08:16:00,2024-07-03 17:11:00,Hadir,0,Keterangan untuk Hadir,Dewi Santoso,Senior Staff,HR,2021-03-24,7429895,Probation,dewi.santoso@company.com,83342331444,0.0,0.0,July,2024
102,2,2024-07-03,2024-07-03 08:14:00,2024-07-03 17:24:00,Hadir,0,Keterangan untuk Hadir,Maya Prasetyo,Manager,IT,2020-04-08,19239227,Probation,maya.prasetyo@company.com,89703905715,0.0,0.0,July,2024
103,3,2024-07-03,0,0,Sakit,0,Keterangan untuk Sakit,Siti Prakoso,Staff,HR,2023-10-09,6697498,Tetap,siti.prakoso@company.com,87110082321,2.0,0.0,July,2024
104,4,2024-07-03,2024-07-03 08:28:00,2024-07-03 17:22:00,Hadir,14,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2020-02-13,10811315,Kontrak,rudi.hidayat@company.com,88934927891,0.0,0.0,July,2024
105,5,2024-07-03,2024-07-03 08:20:00,2024-07-03 17:19:00,Hadir,0,Keterangan untuk Hadir,Maya Hermawan,Manager,Marketing,2024-02-13,15661023,Probation,maya.hermawan@company.com,81298737106,0.0,0.0,July,2024
106,6,2024-07-03,2024-07-03 08:09:00,2024-07-03 17:17:00,Hadir,0,Keterangan untuk Hadir,Siti Hermawan,Manager,HR,2020-07-09,18803481,Probation,siti.hermawan@company.com,88877444318,0.0,0.0,July,2024
107,7,2024-07-03,0,0,Sakit,0,Keterangan untuk Sakit,Ahmad Wati,Senior Staff,HR,2022-12-22,9718057,Tetap,ahmad.wati@company.com,84131575764,0.0,0.0,July,2024
108,8,2024-07-03,0,0,Izin,0,Keterangan untuk Izin,Ahmad Kusuma,Staff,Finance,2024-04-22,5680070,Tetap,ahmad.kusuma@company.com,86649827836,0.0,0.0,July,2024
109,9,2024-07-03,2024-07-03 08:26:00,2024-07-03 17:04:00,Hadir,0,Keterangan untuk Hadir,Rudi Putri,Supervisor,Finance,2021-11-16,13318800,Probation,rudi.putri@company.com,82970753705,0.0,0.0,July,2024
110,10,2024-07-03,2024-07-03 08:16:00,2024-07-03 17:22:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2024-07-19,13350414,Kontrak,rudi.hidayat@company.com,85284391408,0.0,0.0,July,2024
111,11,2024-07-03,2024-07-03 08:07:00,2024-07-03 17:14:00,Hadir,15,Keterangan untuk Hadir,Doni Kusuma,Manager,IT,2020-03-21,16342026,Probation,doni.kusuma@company.com,85567816720,0.0,0.0,July,2024
112,12,2024-07-03,2024-07-03 08:29:00,2024-07-03 17:19:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Staff,Finance,2024-01-22,6511463,Tetap,eko.anggraini@company.com,88047877267,0.0,0.0,July,2024
113,13,2024-07-03,2024-07-03 08:02:00,2024-07-03 17:08:00,Hadir,27,Keterangan untuk Hadir,Dewi Hermawan,Staff,HR,2023-01-24,6836796,Probation,dewi.hermawan@company.com,84919706735,0.0,0.0,July,2024
114,14,2024-07-03,2024-07-03 08:29:00,2024-07-03 17:25:00,Hadir,10,Keterangan untuk Hadir,Rudi Prakoso,Supervisor,HR,2022-03-18,14448929,Tetap,rudi.prakoso@company.com,87867414708,0.0,0.0,July,2024
115,15,2024-07-03,2024-07-03 08:23:00,2024-07-03 17:09:00,Hadir,9,Keterangan untuk Hadir,Linda Santoso,Manager,Finance,2022-04-02,17020577,Probation,linda.santoso@company.com,85067116918,4.0,0.0,July,2024
