karyawan_id,nama,departemen,jabatan,gaji_pokok,status_kepegawaian,bulan,tahun,total_hari_hadir,total_keterlambatan,total_jam_lembur,total_potongan,total_bonus
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,June,2025,27,81,4,0,8327352
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,May,2025,25,79,10,0,1415846
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,November,2024,26,113,11,0,2359438
8,Rina Ramadhan,HR,Supervisor,14672033,Tetap,July,2024,25,125,6,886740,9587706
8,Rina Ramadhan,HR,Supervisor,14672033,Tetap,June,2025,27,0,4,0,3029253
8,Rina Ramadhan,HR,Supervisor,14672033,Tetap,May,2025,27,35,9,0,6217225
8,Rina Ramadhan,HR,Supervisor,14672033,Tetap,October,2024,26,100,11,0,3415498
8,Rina Ramadhan,HR,Supervisor,14672033,Tetap,September,2024,23,45,6,583460,6627393
9,Rosa Maulani,HR,Manager,17245973,Tetap,August,2024,23,40,4,206165,7923085
9,Rosa Maulani,HR,Manager,17245973,Tetap,December,2024,25,47,10,0,8970654
9,Rosa Maulani,HR,Manager,17245973,Tetap,February,2025,24,63,2,0,3886813
9,Rosa Maulani,HR,Manager,17245973,Tetap,January,2025,25,65,11,480841,1389309
9,Rosa Maulani,HR,Manager,17245973,Tetap,July,2024,26,33,4,0,3969993
9,Rosa Maulani,HR,Manager,17245973,Tetap,March,2025,27,40,5,0,5882517
9,Rosa Maulani,HR,Manager,17245973,Tetap,November,2024,26,54,11,0,8978136
9,Rosa Maulani,HR,Manager,17245973,Tetap,October,2024,27,166,5,689892,6693095
9,Rosa Maulani,HR,Manager,17245973,Tetap,September,2024,28,61,4,0,1061087
10,Fajar Utami,Marketing,Staff,5517215,Probation,August,2024,22,18,6,0,6095927
10,Fajar Utami,Marketing,Staff,5517215,Probation,December,2024,27,91,7,0,9364152
10,Fajar Utami,Marketing,Staff,5517215,Probation,July,2024,27,99,5,0,9261859
10,Fajar Utami,Marketing,Staff,5517215,Probation,May,2025,25,92,3,0,1249050
10,Fajar Utami,Marketing,Staff,5517215,Probation,November,2024,27,111,0,0,5280492
10,Fajar Utami,Marketing,Staff,5517215,Probation,September,2024,23,56,12,0,5264087
11,Hendra Wijaya,HR,Senior Staff,7381301,Tetap,December,2024,25,62,7,195114,7400389
11,Hendra Wijaya,HR,Senior Staff,7381301,Tetap,June,2025,26,91,9,0,6396168
11,Hendra Wijaya,HR,Senior Staff,7381301,Tetap,March,2025,26,76,4,0,5457329
11,Hendra Wijaya,HR,Senior Staff,7381301,Tetap,November,2024,26,86,4,0,3773321
11,Hendra Wijaya,HR,Senior Staff,7381301,Tetap,September,2024,25,127,5,0,7972620
12,Rudi Pertiwi,Marketing,Supervisor,13201254,Probation,January,2025,27,62,13,0,6206305
12,Rudi Pertiwi,Marketing,Supervisor,13201254,Probation,July,2024,27,62,1,0,8284233
12,Rudi Pertiwi,Marketing,Supervisor,13201254,Probation,March,2025,26,119,9,0,3850253
12,Rudi Pertiwi,Marketing,Supervisor,13201254,Probation,November,2024,26,91,7,0,4688724
12,Rudi Pertiwi,Marketing,Supervisor,13201254,Probation,September,2024,25,99,18,0,7255504
13,Joko Prakoso,IT,Manager,17238291,Probation,April,2025,25,4,4,0,1015292
13,Joko Prakoso,IT,Manager,17238291,Probation,December,2024,24,31,14,0,1894649
13,Joko Prakoso,IT,Manager,17238291,Probation,February,2025,24,64,1,0,2675216
13,Joko Prakoso,IT,Manager,17238291,Probation,July,2024,28,100,8,0,3125473
13,Joko Prakoso,IT,Manager,17238291,Probation,March,2025,26,140,8,0,5811805
13,Joko Prakoso,IT,Manager,17238291,Probation,October,2024,25,52,6,0,4379879
13,Joko Prakoso,IT,Manager,17238291,Probation,September,2024,27,54,6,0,8889989
14,Maya Sari,Marketing,Supervisor,12209467,Probation,April,2025,25,78,9,0,5247494
14,Maya Sari,Marketing,Supervisor,12209467,Probation,December,2024,26,95,7,0,6938281
14,Maya Sari,Marketing,Supervisor,12209467,Probation,February,2025,23,79,7,0,9300746
14,Maya Sari,Marketing,Supervisor,12209467,Probation,January,2025,25,110,4,0,3368009
14,Maya Sari,Marketing,Supervisor,12209467,Probation,March,2025,26,58,8,0,5075172
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,April,2025,27,61,6,389169,5440594
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,December,2024,26,39,7,851287,9115668
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,July,2024,25,58,4,419202,5056767
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,June,2025,25,109,1,0,6315404
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,May,2025,22,33,1,519807,3765581
15,Joko Rahayu,HR,Senior Staff,7677585,Probation,September,2024,25,49,5,0,3785111
16,Wulan Saputra,IT,Staff,6691929,Kontrak,August,2024,23,139,6,0,2487463
16,Wulan Saputra,IT,Staff,6691929,Kontrak,January,2025,26,104,8,140744,1346710
16,Wulan Saputra,IT,Staff,6691929,Kontrak,July,2024,28,115,8,740275,1266114
16,Wulan Saputra,IT,Staff,6691929,Kontrak,March,2025,27,106,7,0,2466889
16,Wulan Saputra,IT,Staff,6691929,Kontrak,May,2025,25,73,9,107764,2243185
16,Wulan Saputra,IT,Staff,6691929,Kontrak,November,2024,27,106,5,0,2527359
17,Linda Permadi,IT,Manager,15580596,Probation,December,2024,25,44,8,0,4520224
17,Linda Permadi,IT,Manager,15580596,Probation,February,2025,27,54,13,0,3341845
17,Linda Permadi,IT,Manager,15580596,Probation,January,2025,26,103,5,0,8487348
17,Linda Permadi,IT,Manager,15580596,Probation,July,2024,25,52,10,0,4201178
17,Linda Permadi,IT,Manager,15580596,Probation,June,2025,24,134,7,0,2937414
17,Linda Permadi,IT,Manager,15580596,Probation,March,2025,25,41,6,0,7713676
17,Linda Permadi,IT,Manager,15580596,Probation,May,2025,27,36,7,0,5492920
17,Linda Permadi,IT,Manager,15580596,Probation,September,2024,24,43,14,0,9871967
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,August,2024,28,44,16,0,8064757
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,December,2024,27,86,11,133085,4793991
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,February,2025,23,36,8,0,5735625
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,January,2025,24,93,6,680886,4044228
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,March,2025,25,95,7,0,9460961
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,May,2025,22,45,5,0,2598267
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,November,2024,24,24,4,0,9075879
18,Rudi Supriyadi,HR,Staff,6272119,Kontrak,September,2024,26,60,5,0,5394221
19,Rina Maulani,Finance,Supervisor,13132478,Kontrak,April,2025,26,81,7,0,1234808
19,Rina Maulani,Finance,Supervisor,13132478,Kontrak,January,2025,25,106,6,188520,2044742
19,Rina Maulani,Finance,Supervisor,13132478,Kontrak,June,2025,22,47,7,0,1444885
19,Rina Maulani,Finance,Supervisor,13132478,Kontrak,October,2024,26,18,6,0,7775721
19,Rina Maulani,Finance,Supervisor,13132478,Kontrak,September,2024,26,99,11,0,9351548
20,Linda Kusuma,Finance,Manager,16930342,Probation,April,2025,24,35,10,0,4515188
20,Linda Kusuma,Finance,Manager,16930342,Probation,December,2024,23,56,2,0,1760669
20,Linda Kusuma,Finance,Manager,16930342,Probation,January,2025,27,78,8,0,6819382
20,Linda Kusuma,Finance,Manager,16930342,Probation,May,2025,27,86,5,0,9853937
20,Linda Kusuma,Finance,Manager,16930342,Probation,November,2024,25,64,2,0,9302586
20,Linda Kusuma,Finance,Manager,16930342,Probation,October,2024,27,69,4,737158,2647809
21,Ahmad Kartika,HR,Manager,17771835,Tetap,December,2024,27,102,8,0,8836347
21,Ahmad Kartika,HR,Manager,17771835,Tetap,February,2025,26,144,15,85247,2555021
21,Ahmad Kartika,HR,Manager,17771835,Tetap,January,2025,26,61,11,0,9040489
21,Ahmad Kartika,HR,Manager,17771835,Tetap,June,2025,27,130,18,0,4878462
21,Ahmad Kartika,HR,Manager,17771835,Tetap,May,2025,23,84,3,544929,1765308
21,Ahmad Kartika,HR,Manager,17771835,Tetap,November,2024,27,92,9,120247,7409029
21,Ahmad Kartika,HR,Manager,17771835,Tetap,September,2024,22,81,5,0,3024323
22,Doni Supriyadi,HR,Staff,6961915,Probation,December,2024,23,50,15,0,9990517
22,Doni Supriyadi,HR,Staff,6961915,Probation,June,2025,27,68,1,0,3799082
23,Linda Utami,HR,Staff,5903979,Kontrak,April,2025,24,125,12,952510,1946693
23,Linda Utami,HR,Staff,5903979,Kontrak,December,2024,25,72,9,257142,7203235
23,Linda Utami,HR,Staff,5903979,Kontrak,July,2024,27,140,10,0,9929604
23,Linda Utami,HR,Staff,5903979,Kontrak,June,2025,25,25,3,0,8110998
23,Linda Utami,HR,Staff,5903979,Kontrak,November,2024,25,78,3,0,1279375
23,Linda Utami,HR,Staff,5903979,Kontrak,October,2024,25,101,15,232038,3553030
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,April,2025,27,97,0,0,9816287
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,August,2024,27,69,7,639753,4367849
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,June,2025,23,38,4,0,6468796
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,March,2025,27,65,14,0,9100749
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,May,2025,25,27,4,0,7786282
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,November,2024,24,82,9,198916,1707045
24,Bagus Ramadhan,IT,Manager,17846276,Tetap,October,2024,21,10,4,0,1020479
25,Eko Handayani,HR,Staff,5970201,Tetap,August,2024,26,104,0,164034,5396359
25,Eko Handayani,HR,Staff,5970201,Tetap,May,2025,24,49,6,0,9327080
25,Eko Handayani,HR,Staff,5970201,Tetap,October,2024,27,66,12,482788,8125045
25,Eko Handayani,HR,Staff,5970201,Tetap,September,2024,25,56,10,0,2353690
26,Rina Rahayu,IT,Manager,18409248,Kontrak,April,2025,23,41,5,509821,8318039
26,Rina Rahayu,IT,Manager,18409248,Kontrak,August,2024,24,83,7,0,6223714
26,Rina Rahayu,IT,Manager,18409248,Kontrak,February,2025,26,78,6,670180,4393168
26,Rina Rahayu,IT,Manager,18409248,Kontrak,January,2025,26,74,4,0,8801052
26,Rina Rahayu,IT,Manager,18409248,Kontrak,March,2025,26,152,12,0,2797610
26,Rina Rahayu,IT,Manager,18409248,Kontrak,October,2024,25,25,19,0,8006576
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,April,2025,25,91,11,0,5693061
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,August,2024,27,94,0,0,8445900
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,February,2025,22,37,4,449570,6596982
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,June,2025,26,60,0,0,9861163
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,May,2025,25,113,11,757680,3223307
27,Tono Putri,Marketing,Supervisor,13816886,Kontrak,September,2024,27,91,3,0,1809251
28,Rudi Prasetyo,HR,Senior Staff,9274131,Tetap,January,2025,23,20,5,0,3396177
28,Rudi Prasetyo,HR,Senior Staff,9274131,Tetap,March,2025,26,128,7,0,9733019
28,Rudi Prasetyo,HR,Senior Staff,9274131,Tetap,November,2024,28,109,7,0,6800276
29,Dewi Putri,HR,Staff,6785394,Tetap,August,2024,25,38,13,829351,2656608
29,Dewi Putri,HR,Staff,6785394,Tetap,February,2025,25,77,4,0,7385955
29,Dewi Putri,HR,Staff,6785394,Tetap,July,2024,24,62,13,51449,8635573
29,Dewi Putri,HR,Staff,6785394,Tetap,May,2025,24,67,2,0,6146836
29,Dewi Putri,HR,Staff,6785394,Tetap,October,2024,26,64,0,0,6041002
29,Dewi Putri,HR,Staff,6785394,Tetap,September,2024,26,65,0,0,1466436
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,December,2024,24,73,3,972707,6691188
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,February,2025,23,42,1,756407,9087047
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,January,2025,23,153,4,0,7845707
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,June,2025,26,60,4,0,6451687
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,March,2025,23,38,2,0,2002548
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,May,2025,23,62,9,0,7754735
30,Ahmad Supriyadi,Marketing,Supervisor,14856325,Probation,October,2024,23,106,10,0,9270591
31,Ahmad Sari,Finance,Senior Staff,8317782,Tetap,April,2025,24,98,2,0,5056822
31,Ahmad Sari,Finance,Senior Staff,8317782,Tetap,December,2024,26,24,15,0,9066539
31,Ahmad Sari,Finance,Senior Staff,8317782,Tetap,February,2025,24,109,7,0,9847954
31,Ahmad Sari,Finance,Senior Staff,8317782,Tetap,January,2025,25,26,2,0,6678109
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,April,2025,26,206,14,101199,6621475
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,August,2024,27,57,0,0,2622727
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,December,2024,26,48,11,730704,9095089
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,January,2025,26,125,5,633348,5488077
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,July,2024,27,137,3,94190,2781968
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,June,2025,26,48,3,0,4337570
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,November,2024,23,68,10,99040,2274487
32,Rudi Supriyadi,Marketing,Senior Staff,8922188,Probation,September,2024,24,73,10,0,7584988
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,December,2024,26,42,11,0,4240033
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,February,2025,23,78,4,0,6281232
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,January,2025,25,45,1,447416,6965477
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,May,2025,24,115,9,0,3184200
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,October,2024,23,54,10,113981,8617168
33,Ahmad Handayani,Finance,Supervisor,12049206,Kontrak,September,2024,27,75,4,804540,1069072
34,Bagus Handayani,IT,Senior Staff,9782453,Tetap,August,2024,25,152,7,0,8267921
34,Bagus Handayani,IT,Senior Staff,9782453,Tetap,February,2025,23,3,8,0,4330340
34,Bagus Handayani,IT,Senior Staff,9782453,Tetap,January,2025,27,58,7,0,5880878
34,Bagus Handayani,IT,Senior Staff,9782453,Tetap,November,2024,26,81,6,0,1564646
34,Bagus Handayani,IT,Senior Staff,9782453,Tetap,October,2024,24,60,5,0,3778320
35,Siti Rahayu,Finance,Supervisor,12876288,Tetap,August,2024,26,88,6,0,3135945
35,Siti Rahayu,Finance,Supervisor,12876288,Tetap,December,2024,26,74,13,0,5684200
35,Siti Rahayu,Finance,Supervisor,12876288,Tetap,June,2025,25,32,3,0,8855512
36,Joko Utami,IT,Senior Staff,8160480,Tetap,April,2025,23,52,7,123795,8628294
36,Joko Utami,IT,Senior Staff,8160480,Tetap,December,2024,26,125,1,0,6192600
36,Joko Utami,IT,Senior Staff,8160480,Tetap,July,2024,25,110,4,122240,9606240
36,Joko Utami,IT,Senior Staff,8160480,Tetap,March,2025,25,54,6,0,6110611
36,Joko Utami,IT,Senior Staff,8160480,Tetap,October,2024,26,84,4,0,6809810
36,Joko Utami,IT,Senior Staff,8160480,Tetap,September,2024,28,106,4,0,4096824
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,April,2025,24,138,2,407113,9276201
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,August,2024,24,95,14,0,5495873
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,January,2025,26,46,3,131812,5218555
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,June,2025,24,90,18,0,1678317
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,May,2025,22,30,3,438291,3522254
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,October,2024,24,125,0,335394,9378822
37,Rosa Hermawan,HR,Senior Staff,9959783,Kontrak,September,2024,25,78,10,679124,2745621
38,Siti Hidayat,IT,Supervisor,11242300,Kontrak,April,2025,25,73,6,0,3434627
38,Siti Hidayat,IT,Supervisor,11242300,Kontrak,February,2025,26,82,5,0,6869033
38,Siti Hidayat,IT,Supervisor,11242300,Kontrak,March,2025,26,73,8,0,1362400
39,Maya Nugroho,Finance,Manager,15862295,Kontrak,April,2025,25,77,6,0,8645748
39,Maya Nugroho,Finance,Manager,15862295,Kontrak,February,2025,26,107,8,318578,9417684
39,Maya Nugroho,Finance,Manager,15862295,Kontrak,July,2024,24,65,4,0,5865475
39,Maya Nugroho,Finance,Manager,15862295,Kontrak,March,2025,25,56,5,803613,1480422
39,Maya Nugroho,Finance,Manager,15862295,Kontrak,October,2024,25,51,5,0,9017419
40,Nina Wati,IT,Staff,6640783,Kontrak,February,2025,22,150,20,0,9237223
40,Nina Wati,IT,Staff,6640783,Kontrak,March,2025,27,81,16,332479,7770944
40,Nina Wati,IT,Staff,6640783,Kontrak,September,2024,27,77,6,821704,4034103
41,Doni Wati,Marketing,Manager,16674138,Kontrak,August,2024,26,130,11,0,7310219
41,Doni Wati,Marketing,Manager,16674138,Kontrak,January,2025,21,53,5,728047,4588887
41,Doni Wati,Marketing,Manager,16674138,Kontrak,March,2025,24,20,3,0,3104399
41,Doni Wati,Marketing,Manager,16674138,Kontrak,May,2025,28,127,1,517720,6923011
41,Doni Wati,Marketing,Manager,16674138,Kontrak,November,2024,27,62,8,412939,4920839
41,Doni Wati,Marketing,Manager,16674138,Kontrak,October,2024,25,66,10,0,7447658
41,Doni Wati,Marketing,Manager,16674138,Kontrak,September,2024,25,89,1,620349,3174505
42,Linda Kusuma,HR,Manager,15582343,Kontrak,April,2025,23,125,16,0,5711628
42,Linda Kusuma,HR,Manager,15582343,Kontrak,December,2024,26,27,4,451474,1681133
42,Linda Kusuma,HR,Manager,15582343,Kontrak,June,2025,26,56,12,0,9326593
42,Linda Kusuma,HR,Manager,15582343,Kontrak,May,2025,25,40,9,0,5289084
42,Linda Kusuma,HR,Manager,15582343,Kontrak,November,2024,27,46,12,0,9613028
42,Linda Kusuma,HR,Manager,15582343,Kontrak,October,2024,25,104,16,784184,3462039
42,Linda Kusuma,HR,Manager,15582343,Kontrak,September,2024,28,91,8,0,4632610
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,August,2024,26,0,6,0,3478954
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,December,2024,23,76,11,0,5664640
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,July,2024,24,45,8,0,5363901
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,June,2025,25,157,7,0,1967209
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,May,2025,26,70,9,164587,3794948
43,Ayu Handayani,IT,Senior Staff,9435169,Kontrak,October,2024,23,72,7,0,2931426
44,Wulan Sari,Finance,Senior Staff,7485053,Kontrak,January,2025,20,28,1,889671,1219465
44,Wulan Sari,Finance,Senior Staff,7485053,Kontrak,May,2025,27,80,12,671554,5246145
44,Wulan Sari,Finance,Senior Staff,7485053,Kontrak,October,2024,25,84,5,0,8752175
45,Dewi Kartika,IT,Staff,6508754,Probation,April,2025,27,114,9,0,9593800
45,Dewi Kartika,IT,Staff,6508754,Probation,August,2024,26,74,0,834054,9562069
45,Dewi Kartika,IT,Staff,6508754,Probation,December,2024,24,97,4,65013,3118783
45,Dewi Kartika,IT,Staff,6508754,Probation,July,2024,27,63,6,0,9586282
45,Dewi Kartika,IT,Staff,6508754,Probation,May,2025,24,82,7,0,8765833
45,Dewi Kartika,IT,Staff,6508754,Probation,November,2024,23,99,0,0,7908871
45,Dewi Kartika,IT,Staff,6508754,Probation,October,2024,24,75,10,0,9433858
45,Dewi Kartika,IT,Staff,6508754,Probation,September,2024,26,76,11,482295,9705013
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,December,2024,27,13,9,0,2515599
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,January,2025,21,38,8,0,5316686
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,July,2024,28,101,3,0,8430106
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,May,2025,24,103,14,0,3683720
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,October,2024,23,10,4,0,5451429
46,Yuni Hidayat,Finance,Senior Staff,8259642,Probation,September,2024,27,46,3,724929,6347685
47,Tono Kartika,HR,Senior Staff,8590250,Probation,February,2025,25,88,11,354060,6363727
47,Tono Kartika,HR,Senior Staff,8590250,Probation,July,2024,26,80,4,0,3207976
47,Tono Kartika,HR,Senior Staff,8590250,Probation,June,2025,23,59,14,0,2874033
47,Tono Kartika,HR,Senior Staff,8590250,Probation,March,2025,28,138,4,0,6139791
47,Tono Kartika,HR,Senior Staff,8590250,Probation,October,2024,25,107,9,0,3604144
47,Tono Kartika,HR,Senior Staff,8590250,Probation,September,2024,25,99,2,0,8050615
48,Tono Handayani,Finance,Manager,19865264,Probation,December,2024,23,77,7,661302,5562557
48,Tono Handayani,Finance,Manager,19865264,Probation,February,2025,26,71,7,0,4045353
48,Tono Handayani,Finance,Manager,19865264,Probation,June,2025,25,80,6,0,8464996
49,Bagus Anindya,HR,Staff,6889913,Probation,December,2024,27,13,19,0,9897782
49,Bagus Anindya,HR,Staff,6889913,Probation,May,2025,26,112,3,0,9248817
49,Bagus Anindya,HR,Staff,6889913,Probation,October,2024,24,124,13,0,6637282
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,April,2025,22,57,5,656091,6272586
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,December,2024,26,48,4,0,4863612
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,February,2025,26,117,0,741846,4768290
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,March,2025,25,75,0,0,6153205
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,November,2024,26,170,4,0,3765628
50,Joko Supriyadi,IT,Senior Staff,7942211,Tetap,October,2024,26,137,8,0,5423886
